year,seActivity,taskCount,totalModels,tasksWithoutModels,tasksWithoutModelsRatio,avgModelsPerTask,avgModels_lognorm,coverage,datasetCompletenessRatio,collectionCompletenessRatio,spaceCompletenessRatio,benchmarkCompletenessRatio,paperCompletenessRatio,EMI
2022,software implementation,28,88,17,0.607,8.0,1.0,0.393,0.114,0.307,0.489,0.0,0.545,0.425
2022,software quality assurance,39,5,37,0.949,2.5,0.441,0.051,0.0,0.6,0.6,0.0,1.0,0.24
2022,software maintenance,36,18,29,0.806,2.571,0.454,0.194,0.056,0.389,0.222,0.0,0.278,0.199
2022,requirements engineering,25,2,23,0.92,1.0,0.0,0.08,0.0,0.0,0.5,0.0,0.0,0.012
2023,software implementation,28,509,13,0.464,33.933,1.0,0.536,0.326,0.356,0.47,0.0,0.495,0.462
2023,software maintenance,36,36,28,0.778,4.5,0.427,0.222,0.139,0.278,0.278,0.0,0.222,0.197
2023,software quality assurance,39,20,32,0.821,2.857,0.298,0.179,0.15,0.5,0.4,0.0,0.5,0.181
2023,requirements engineering,25,4,23,0.92,2.0,0.197,0.08,0.0,0.0,0.25,0.0,0.0,0.071
2023,software design,18,2,16,0.889,1.0,0.0,0.111,0.0,1.0,0.0,0.0,0.0,0.017
2024,software implementation,28,1599,11,0.393,94.059,1.0,0.607,0.278,0.364,0.328,0.0,0.477,0.467
2024,software quality assurance,39,102,29,0.744,10.2,0.423,0.256,0.167,0.304,0.255,0.0,0.353,0.217
2024,software maintenance,36,109,26,0.722,10.9,0.44,0.278,0.138,0.303,0.174,0.0,0.257,0.213
2024,software design,18,14,13,0.722,2.8,0.087,0.278,0.143,0.214,0.214,0.0,0.571,0.139
2024,requirements engineering,25,16,17,0.68,2.0,0.0,0.32,0.0,0.125,0.125,0.0,0.5,0.098
2025,software implementation,28,3135,11,0.393,184.412,1.0,0.607,0.208,0.354,0.217,0.0,0.474,0.459
2025,software quality assurance,39,194,18,0.462,9.238,0.266,0.538,0.18,0.294,0.17,0.0,0.284,0.207
2025,software maintenance,36,167,23,0.639,12.846,0.347,0.361,0.204,0.287,0.198,0.0,0.275,0.206
2025,software design,18,40,12,0.667,6.667,0.186,0.333,0.35,0.4,0.175,0.0,0.3,0.171
2025,requirements engineering,25,25,17,0.68,3.125,0.0,0.32,0.04,0.12,0.08,0.0,0.48,0.1
2026,software implementation,28,3722,11,0.393,218.941,1.0,0.607,0.195,0.333,0.192,0.0,0.485,0.459
2026,software quality assurance,39,265,18,0.462,12.619,0.344,0.538,0.177,0.26,0.128,0.0,0.268,0.229
2026,software maintenance,36,224,23,0.639,17.231,0.416,0.361,0.205,0.246,0.156,0.0,0.254,0.225
2026,software design,18,71,10,0.556,8.875,0.264,0.444,0.225,0.338,0.099,0.0,0.197,0.188
2026,requirements engineering,25,31,14,0.56,2.818,0.0,0.44,0.032,0.129,0.065,0.0,0.387,0.108
